Date,Rating,Review
2026-02-28,2,Brokerage for US stocks is higher than competitors.
2026-01-10,2,Love the app! SIP setup is so easy. Highly recommended.
2026-01-15,2,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-02-20,4,Support is slow. No one responded to my ticket #12345.
2026-02-25,5,Waiting for 2 weeks for KYC. Very frustrating.
2026-02-24,2,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-03-05,1,Too many notifications. Stop spamming my email test@example.com.
2026-01-06,1,Support is slow. No one responded to my ticket #12345.
2026-01-12,1,The login is so slow. It takes forever to authenticate with FaceID.
2026-01-06,2,Support is slow. No one responded to my ticket #12345.
2026-02-28,4,Simple and effective. Used it for 3 months now.
2025-12-18,2,Too many notifications. Stop spamming my email test@example.com.
2026-03-08,3,Brokerage for US stocks is higher than competitors.
2026-01-31,1,Why is there a withdrawal charge? I wasn't informed about this. My number is 9876543210 - call me.
2026-01-29,1,Too many notifications. Stop spamming my email test@example.com.
2026-01-04,3,App crashes when I try to open the portfolio section.
2026-01-22,2,Waiting for 2 weeks for KYC. Very frustrating.
2026-01-30,4,The interface is clean and dark mode looks premium.
2026-01-03,2,Simple and effective. Used it for 3 months now.
2026-02-01,3,Simple and effective. Used it for 3 months now.
2026-01-13,3,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-02-17,3,The interface is clean and dark mode looks premium.
2026-01-28,4,The wealth tracker is amazing. Combined view of all assets is a plus.
2026-02-25,5,Too many notifications. Stop spamming my email test@example.com.
2026-01-26,2,Fees are confusing. Need a better explainer for brokerage.
2026-02-25,1,App crashes when I try to open the portfolio section.
2026-01-23,3,The interface is clean and dark mode looks premium.
2026-02-04,1,Simple and effective. Used it for 3 months now.
2026-01-17,1,Simple and effective. Used it for 3 months now.
2025-12-30,5,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-03-10,3,I need more mutual fund options from SBI and Nippon.
2026-01-23,2,Love the app! SIP setup is so easy. Highly recommended.
2026-02-05,2,"Great interface, but US stock prices update very slowly."
2026-02-06,2,Waiting for 2 weeks for KYC. Very frustrating.
2026-03-10,4,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-02-06,3,The wealth tracker is amazing. Combined view of all assets is a plus.
2025-12-21,5,Love the app! SIP setup is so easy. Highly recommended.
2026-01-16,4,The wealth tracker is amazing. Combined view of all assets is a plus.
2026-02-19,1,The wealth tracker is amazing. Combined view of all assets is a plus.
2025-12-18,2,Kudos to Rahul from support for helping me with my KYC. Rahul was the best.
2026-01-04,2,The wealth tracker is amazing. Combined view of all assets is a plus.
2026-02-07,1,Brokerage for US stocks is higher than competitors.
2026-02-27,4,App crashes when I try to open the portfolio section.
2026-01-29,4,The login is so slow. It takes forever to authenticate with FaceID.
2026-01-25,3,Fees are confusing. Need a better explainer for brokerage.
2026-01-05,1,Support is slow. No one responded to my ticket #12345.
2026-03-06,4,I need more mutual fund options from SBI and Nippon.
2026-02-15,3,Love the app! SIP setup is so easy. Highly recommended.
2026-01-20,5,Why is there a withdrawal charge? I wasn't informed about this. My number is 9876543210 - call me.
2025-12-17,2,The login is so slow. It takes forever to authenticate with FaceID.
